,ID,Ingredients
0,1,"['gochujang base', 'ketchup', 'maple syrup', 'soy sauce', 'seasoned rice wine vinegar', 'sugar', 'sesame oil', 'water', 'ginger', 'garlic', 'chicken thighs', 'eggs', 'corn flour', 'flour', 'soda', 'garlic powder', 'onion salt', 'spring onion', 'white', 'sesame seeds', 'mayonnaise', 'salt', 'pepper', 'vegetable oil']"
1,2,"['asparagus', 'butter', 'eggs', 'sourdough', 'wine vinegar', 'eggs', 'salt']"
2,3,"['puff pastry', 'potato', 'leeks', 'garlic', 'oat fraiche', 'milk', 'nutmeg', 'nutmeg', 'rocket', 'lemon', 'virgin olive oil', 'pine nuts', 'chicory']"
3,4,"['streaky bacon', 'spring onion', 'chilli', 'carrot', 'watercress', 'minced pork', 'garlic', 'ginger', 'eggs', 'cornflour', 'soy sauce', 'fish sauce', 'rice paper', 'salt', 'vegetable oil', 'chilli sauce']"
4,5,"['pork belly', 'maple syrup', 'cider vinegar', 'pepper', 'charlotte potato', 'wholegrain mustard', 'mayonnaise', 'spring onion', 'apple', 'parsley', 'salt', 'pepper']"
5,6,"['garlic', 'lemon', 'chillies', 'orzo', 'parmesan', 'salt', 'pepper', 'olive oil']"
6,7,"['udon', 'eggs', 'garlic', 'banana shallots', 'butter', 'miso', 'lemon', 'parmesan', 'nori', 'salt', 'pepper']"
7,8,"['chicken breast', 'yogurt', 'cardamom', 'onion', 'garlic', 'ginger', 'cinnamon', 'cumin', 'coriander', 'turmeric', 'tomato puree', 'chilli powder', 'almond', 'flaked almonds', 'mango chutney', 'coriander', 'salt', 'vegetable oil']"
8,9,"['grain rice', 'spring onion', 'ginger', 'garlic', 'sichuan pepper', 'tofu', 'pork mince', 'sugar', 'chilli bean sauce', 'shaoxing wine', 'soy sauce', 'chicken stock', 'cornflour', 'chilli oil', 'sesame oil', 'salt', 'vegetable oil']"
9,10,"['garlic', 'sourdough', 'goat cheese', 'chives', 'sunflower oil', 'honey', 'salt', 'pepper']"
10,11,"['romano peppers', 'onion', 'garlic', 'chestnut mushrooms', 'walnuts', 'raisins', 'tomato paste', 'ras el hanout', 'cumin', 'paprika', 'moscatel vinegar', 'sherry vinegar', 'lentils', 'coriander', 'jalapeno', 'cardamom', 'chilli', 'virgin olive oil', 'orzo', 'vegetable stock']"
